id,smiles,activity
CHEMBL3972563,[H][C@@](CC1=CC=C(C=C1)C2=CC3=C(SC(=O)N3C)C=C2)(NC(=O)[C@]4([H])CNCCCO4)C#N,0
CHEMBL231294,[H][C@]1(N)CN(CC[C@]1([H])C2=C(F)C=C(F)C(F)=C2)C3=NC4=NN=CN4C=C3,0
CHEMBL469811,[H][C@]1(CCNC1)OCC2=CC3=C(C=C2)C=C(F)C=C3,0
CHEMBL1801188,[H][C@@]1(F)CCN(C1)C2=NN=C(C)C3=C(C)N(N=C23)C4=CC=C(OCC(F)(F)F)C=C4,1
CHEMBL379010,FC(F)(F)OC1=CC(CNC2CCC3NC2(CC3C4=NC(=O)NN4)C5=CC=CC=C5)=C(OC6CC6)C=C1,0
CHEMBL2376805,CNC1CN(C1)C2=C3N=CC(=CC3=NC(N)=N2)C(C)C,0
CHEMBL4069196,O=C1N2N=CN=C2C3=C(SC4=C3CCN(CC5CCOCC5)C4)N1CC6=CC=CC=C6,1
CHEMBL127457,CCOC(=O)C1C2CCC(CC1OC(=O)C3=CC=CC=C3)N2C,0
CHEMBL1269885,[H][C@@]12CN(CCC(C3CCN(CC3)S(C)(=O)=O)C4=CC(F)=CC=C4)C[C@]1([H])CN(C2)C(=O)C5=C(C)N=CN=C5C,0
CHEMBL1084033,FC1=CC=C(C=C1)C(CC2=C(OC(F)(F)F)C=CC=C2)N3CCNCC3,0
CHEMBL2147214,CC1=NC=C(C=N1)C2=C(CCNC(=O)C3=CN=C(OCCC(F)(F)F)C=C3)C=CC=C2,0
CHEMBL563700,CCN(CC)C(=O)C1=CC=C(C=C1)C2=CC3(CCCNC3)OC4=C2C=CC=C4,0
CHEMBL561138,CCN(CC)C(=O)C1=CN=C(C=C1)C2=CC3(CCNCC3)OC4=C2C=CC=C4,0
CHEMBL494462,CCN(CC)C(=O)C1=CC=C(C=C1)C2=CC3(CCNCC3)OC4=C2C=CC=C4,0
CHEMBL550471,[H][C@]1(CC2(CCNCC2)OC3=C1C=CC=C3)C4=CC=C(C=C4)C(=O)N(CC)CC,0
CHEMBL557054,CCN(CC)C(=O)C1=NC=C(C=C1)C2=CC3(CCNCC3)OC4=C2C=CC=C4,0
CHEMBL2164369,CC1=C2C(N(CCC3=NC=CC=C3)C(=O)C2=CC=C1)C(=O)NCC4=CC=C(OC(F)(F)F)C=C4,0
CHEMBL2164368,FC1=C2C(N(CCC3=NC=CC=C3)C(=O)C2=CC=C1)C(=O)NCC4=CC=C(OC(F)(F)F)C=C4,0
CHEMBL2206288,C([C@H]1C[C@H](C1)C2=CC=C(CN3CCCC3)C=C2)N4CCOCC4,0
CHEMBL2338407,CC(C)(C)NC(=O)NCCN1CCCC(CNC(=O)C2=CC(Cl)=CC(Cl)=C2)C1,0
CHEMBL2069416,[H][C@]1(COC2=C(C1)C(=CC=C2)C3=CC=NC=C3)NC(=O)C4=NN(N=C4C)C5=CC=CC=C5,0
CHEMBL2180033,CC1=NC(N=C1N)(C2CC2)C3=CC(=CC=C3)C4=CC(Cl)=CN=C4,0
CHEMBL1090160,OC(C(N1CCCCC1)C2=CC=CC=C2)(C3=CN=CC=C3)C4=CN=CC=C4,0
